

; Sprite sizes
##_8x8		0b0000
##_16x16	0b0001
##_32x32	0b0010
##_64x64	0b0011
##_16x8		0b0100
##_32x8		0b0101
##_32x16	0b0110
##_64x32	0b0111

##_8x16		0b1000
##_8x32		0b1001
##_16x32	0b1010
##_32x64	0b1011

;Sprite Length Data
TableDefine spr_lengthdata	0	length
TableData					1
TableData					4
TableData					16
TableData					64
TableData					2
TableData					4
TableData					8
TableData					32
TableData					2
TableData					4
TableData					8
TableData					32

;Stage Data
TableDefine stagedata 0 	fg1 				bg1 				bg2
TableData				level_HIGHWAY1	-1				-1

;Section Data
TableDefine sectiondata 0 	x		ghostrate		ghosttype				hardmode	encounter	
TableData				0		5			#class_ghost				0			-1
TableData				4480	20			#class_ghost				0			-1
TableData				12288	40			#class_wavyghost			0			-1
TableData				28032	80			#class_wavyghost			0			-1
TableData				33152	30			#class_ghost				0			-1
TableData				50048	60			#class_ghost				0			-1
TableData				68096	5			#class_wavyghost			0			-1
TableData				74496	100			#class_wavyghost			0			-1
TableData				83200	50			#class_wavyghost			0			-1
TableData				90624	20			#class_wavyghost			0			-1
TableData				107264	5			#class_ghost				0			-1
TableData				121344	100			#class_wavyghost			1			-1
TableData				999999	100			#class_wavyghost			0			-1

;Frame data
TableDefine framedata 1		tileindex				sprsize		resource 		rangeindex
##index_horse_idle #_here
TableData				#ofs_horse			#_64x64		sprite_horse	1
TableData				#ofs_horse			#_64x64		sprite_horse	2

TableData				#ofs_horse			#_64x64		sprite_horse	3
TableData				#ofs_horse			#_64x64		sprite_horse	4
TableData				#ofs_horse			#_64x64		sprite_horse	5

TableData				#ofs_horse			#_64x64		sprite_horse	6
TableData				#ofs_horse			#_64x64		sprite_horse	7
TableData				#ofs_horse			#_64x64		sprite_horse	8
##index_horse_die #_here
TableData				#ofs_horse			#_64x64		sprite_horse	9

TableDefine framedata 18	tileindex				sprsize		resource 		rangeindex
##index_horse_charge #_here
TableData				#ofs_horse			#_64x64		sprite_horse	18
TableData				#ofs_horse			#_64x64		sprite_horse	19


TableDefine framedata 20	tileindex				sprsize		resource 		rangeindex

##index_horse_attack #_here
TableData				#ofs_horse			#_64x64		sprite_horse	20
TableData				#ofs_horse			#_64x64		sprite_horse	21
TableData				#ofs_horse			#_64x64		sprite_horse	22
TableData				#ofs_horse			#_64x64		sprite_horse	23

##index_slash #_here
TableData				#ofs_slash1			#_32x64		-1			-1
TableData				#ofs_slash2			#_32x64		-1			-1
TableData				#ofs_slash3			#_32x64		-1			-1
TableData				#ofs_slash4			#_32x64		-1			-1
TableData				#ofs_slash5			#_32x64		-1			-1
